0,1,2
instance-00001a94,instance-000016f5,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-000016a1,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-00001a91,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-00001794,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-00001701,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-00001a9d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-00001a7f,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-00001a67,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a94,instance-0000178e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001680,instance-00001aa0,"[50, 51, 14, 15]"
instance-00001680,instance-00001acd,"[50, 51, 14, 15]"
instance-00001680,instance-00001b09,"[50, 51, 14, 15]"
instance-00001680,instance-0000165f,"[50, 51, 14, 15]"
instance-00001680,instance-00001a4c,"[50, 51, 14, 15]"
instance-00001680,instance-00000d91,"[50, 51, 14, 15]"
instance-00001680,instance-000016ad,"[50, 51, 14, 15]"
instance-00001680,instance-00001797,"[50, 51, 14, 15]"
instance-00001680,instance-00001788,"[50, 51, 14, 15]"
instance-00001680,instance-0000171f,"[50, 51, 14, 15]"
instance-00001680,instance-00001adf,"[50, 51, 14, 15]"
instance-00001680,instance-0000170d,"[50, 51, 14, 15]"
instance-00001680,instance-0000166e,"[50, 51, 14, 15]"
instance-00001680,instance-00001b06,"[50, 51, 14, 15]"
instance-00001680,instance-00001707,"[50, 51, 14, 15]"
instance-00001680,instance-00001aee,"[50, 14]"
instance-00001680,instance-00001a46,"[51, 15]"
instance-00001680,instance-00001aca,"[50, 51, 14, 15]"
instance-00001680,instance-000016f2,"[50, 51, 14, 15]"
instance-00001680,instance-0000178b,"[50, 51, 14, 15]"
instance-00001680,instance-00001abe,"[50, 51, 14, 15]"
instance-00001680,instance-00001704,"[50, 51, 14, 15]"
instance-00001680,instance-00001671,"[50, 51, 14, 15]"
instance-00001680,instance-00001689,"[50, 51, 14, 15]"
instance-00001680,instance-000016b0,"[51, 15]"
instance-00001680,instance-00001683,"[50, 14]"
instance-00001680,instance-00001665,"[50, 51, 14, 15]"
instance-00001680,instance-000016b3,"[50, 51, 14, 15]"
instance-00001680,instance-00001794,"[50, 51, 14, 15]"
instance-00001680,instance-000016bc,"[50, 51, 14, 15]"
instance-00001680,instance-000016c5,"[50, 51, 14, 15]"
instance-00001680,instance-00001a52,"[50, 51, 14, 15]"
instance-00001680,instance-00001ab5,"[50, 51, 14, 15]"
instance-00001680,instance-0000178e,"[50, 51, 14, 15]"
instance-00001b15,instance-00001aa0,"[10, 46]"
instance-00001b15,instance-00001aa3,"[5, 6, 41, 42, 11, 47]"
instance-00001b15,instance-00001a5e,"[10, 46]"
instance-00001b15,instance-00001698,"[5, 6, 41, 42, 11, 47]"
instance-00001b15,instance-00001a61,"[10, 46]"
instance-00001b15,instance-00001722,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001b15,instance-00001a4f,"[10, 11, 46, 47]"
instance-00001b15,instance-00000d91,"[10, 11, 46, 47]"
instance-00001b15,instance-000016ad,"[10, 11, 46, 47]"
instance-00001b15,instance-00001797,"[10, 11, 46, 47]"
instance-00001b15,instance-00001788,"[10, 11, 46, 47]"
